Entity,Code,Year,Suspended Particulate Matter (SPM) (Fouquet and DPCC (2011))
Delhi,,1997,363
Delhi,,1998,378
Delhi,,1999,375
Delhi,,2000,431
Delhi,,2001,382
Delhi,,2002,456
Delhi,,2003,391
Delhi,,2004,390
Delhi,,2005,373
Delhi,,2006,433
Delhi,,2007,365
Delhi,,2008,416
Delhi,,2009,492
Delhi,,2010,481
London,,1700,259.7402597
London,,1701,262.3376623
London,,1702,264.9350649
London,,1703,267.5324675
London,,1704,270.1298701
London,,1705,272.7272727
London,,1706,275.3246753
London,,1707,277.9220779
London,,1708,280.5194805
London,,1709,283.1168831
London,,1710,285.7142857
London,,1711,288.3116883
London,,1712,290.9090909
London,,1713,293.5064935
London,,1714,296.1038961
London,,1715,298.7012987
London,,1716,301.2987013
London,,1717,303.8961039
London,,1718,306.4935065
London,,1719,309.0909091
London,,1720,311.6883117
London,,1721,314.2857143
London,,1722,316.8831169
London,,1723,319.4805195
London,,1724,322.0779221
London,,1725,324.6753247
London,,1726,325.974026
London,,1727,327.2727273
London,,1728,328.5714286
London,,1729,329.8701299
London,,1730,331.1688312
London,,1731,332.4675325
London,,1732,333.7662338
London,,1733,335.0649351
London,,1734,336.3636364
London,,1735,337.6623377
London,,1736,338.961039
London,,1737,340.2597403
London,,1738,341.5584416
London,,1739,342.8571429
London,,1740,344.1558442
London,,1741,345.4545455
London,,1742,346.7532468
London,,1743,348.0519481
London,,1744,349.3506494
London,,1745,350.6493506
London,,1746,351.9480519
London,,1747,353.2467532
London,,1748,354.5454545
London,,1749,355.8441558
London,,1750,357.1428571
London,,1751,357.7922078
London,,1752,358.4415584
London,,1753,359.0909091
London,,1754,359.7402597
London,,1755,360.3896104
London,,1756,361.038961
London,,1757,361.6883117
London,,1758,362.3376623
London,,1759,362.987013
London,,1760,363.6363636
London,,1761,364.2857143
London,,1762,364.9350649
London,,1763,365.5844156
London,,1764,366.2337662
London,,1765,366.8831169
London,,1766,367.5324675
London,,1767,368.1818182
London,,1768,368.8311688
London,,1769,369.4805195
London,,1770,370.1298701
London,,1771,370.7792208
London,,1772,371.4285714
London,,1773,372.0779221
London,,1774,372.7272727
London,,1775,373.3766234
London,,1776,374.025974
London,,1777,374.6753247
London,,1778,375.3246753
London,,1779,375.974026
London,,1780,376.6233766
London,,1781,377.2727273
London,,1782,377.9220779
London,,1783,378.5714286
London,,1784,379.2207792
London,,1785,379.8701299
London,,1786,380.5194805
London,,1787,381.1688312
London,,1788,381.8181818
London,,1789,382.4675325
London,,1790,383.1168831
London,,1791,383.7662338
London,,1792,384.4155844
London,,1793,385.0649351
London,,1794,385.7142857
London,,1795,386.3636364
London,,1796,387.012987
London,,1797,387.6623377
London,,1798,388.3116883
London,,1799,388.961039
London,,1800,389.6103896
London,,1801,392.987013
London,,1802,396.3636364
London,,1803,399.7402597
London,,1804,403.1168831
London,,1805,406.4935065
London,,1806,409.8701299
London,,1807,413.2467532
London,,1808,416.6233766
London,,1809,420
London,,1810,423.3766234
London,,1811,426.7532468
London,,1812,430.1298701
London,,1813,433.5064935
London,,1814,436.8831169
London,,1815,440.2597403
London,,1816,443.6363636
London,,1817,447.012987
London,,1818,450.3896104
London,,1819,453.7662338
London,,1820,457.1428571
London,,1821,460.5194805
London,,1822,463.8961039
London,,1823,467.2727273
London,,1824,470.6493506
London,,1825,474.025974
London,,1826,477.4025974
London,,1827,480.7792208
London,,1828,484.1558442
London,,1829,487.5324675
London,,1830,490.9090909
London,,1831,494.2857143
London,,1832,497.6623377
London,,1833,501.038961
London,,1834,504.4155844
London,,1835,507.7922078
London,,1836,511.1688312
London,,1837,514.5454545
London,,1838,517.9220779
London,,1839,521.2987013
London,,1840,524.6753247
London,,1841,528.0519481
London,,1842,531.4285714
London,,1843,534.8051948
London,,1844,538.1818182
London,,1845,541.5584416
London,,1846,544.9350649
London,,1847,548.3116883
London,,1848,551.6883117
London,,1849,555.0649351
London,,1850,558.4415584
London,,1851,559.4805195
London,,1852,560.5194805
London,,1853,561.5584416
London,,1854,562.5974026
London,,1855,563.6363636
London,,1856,564.6753247
London,,1857,565.7142857
London,,1858,566.7532468
London,,1859,567.7922078
London,,1860,568.8311688
London,,1861,569.8701299
London,,1862,570.9090909
London,,1863,571.9480519
London,,1864,572.987013
London,,1865,574.025974
London,,1866,575.0649351
London,,1867,576.1038961
London,,1868,577.1428571
London,,1869,578.1818182
London,,1870,579.2207792
London,,1871,580.2597403
London,,1872,581.2987013
London,,1873,582.3376623
London,,1874,583.3766234
London,,1875,584.4155844
London,,1876,586.8506494
London,,1877,589.2857143
London,,1878,591.7207792
London,,1879,594.1558442
London,,1880,596.5909091
London,,1881,599.025974
London,,1882,601.461039
London,,1883,603.8961039
London,,1884,606.3311688
London,,1885,608.7662338
London,,1886,611.2012987
London,,1887,613.6363636
London,,1888,616.0714286
London,,1889,618.5064935
London,,1890,620.9415584
London,,1891,623.3766234
London,,1892,617.6046176
London,,1893,611.8326118
London,,1894,606.0606061
London,,1895,600.2886003
London,,1896,594.5165945
London,,1897,588.7445887
London,,1898,582.972583
London,,1899,577.2005772
London,,1900,571.4285714
London,,1901,571.1168831
London,,1902,570.8051948
London,,1903,570.4935065
London,,1904,570.1818182
London,,1905,569.8701299
London,,1906,569.5584416
London,,1907,569.2467532
London,,1908,568.9350649
London,,1909,568.6233766
London,,1910,568.3116883
London,,1911,568
London,,1912,567.6883117
London,,1913,563.6363636
London,,1914,555.3719008
London,,1915,547.107438
London,,1916,538.8429752
London,,1917,530.5785124
London,,1918,522.3140496
London,,1919,514.0495868
London,,1920,505.785124
London,,1921,497.5206612
London,,1922,489.2561983
London,,1923,480.9917355
London,,1924,472.7272727
London,,1925,409.0909091
London,,1926,363.6363636
London,,1927,360
London,,1928,358.1818182
London,,1929,360
London,,1930,361.8181818
London,,1931,363.6363636
London,,1932,381.8181818
London,,1933,400
London,,1934,403.6363636
London,,1935,409.0909091
London,,1936,405.4545455
London,,1937,401.8181818
London,,1938,400
London,,1939,384.0909091
London,,1940,368.1818182
London,,1941,352.2727273
London,,1942,336.3636364
London,,1943,320.4545455
London,,1944,304.5454545
London,,1945,288.6363636
London,,1946,272.7272727
London,,1947,256.8181818
London,,1948,240.9090909
London,,1949,225
London,,1950,209.0909091
London,,1951,204.8562368
London,,1952,200.6215645
London,,1953,196.3868922
London,,1954,192.1522199
London,,1955,187.9175476
London,,1956,183.6828753
London,,1957,179.448203
London,,1958,175.2135307
London,,1959,170.9788584
London,,1960,166.744186
London,,1961,162.5095137
London,,1962,158.2748414
London,,1963,154.0401691
London,,1964,149.8054968
London,,1965,145.5708245
London,,1966,141.3361522
London,,1967,137.1014799
London,,1968,132.8668076
London,,1969,128.6321353
London,,1970,124.397463
London,,1971,120.1627907
London,,1972,115.9281184
London,,1973,111.6934461
London,,1974,107.4587738
London,,1975,103.2241015
London,,1976,98.98942918
London,,1977,94.75475687
London,,1978,90.52008457
London,,1979,86.28541226
London,,1980,82.05073996
London,,1981,77.81606765
London,,1982,73.58139535
London,,1983,69.34672304
London,,1984,65.11205074
London,,1985,60.87737844
London,,1986,56.64270613
London,,1987,52.40803383
London,,1988,48.17336152
London,,1989,43.93868922
London,,1990,39.70401691
London,,1991,35.46934461
London,,1992,31.2346723
London,,1993,27
London,,1994,26
London,,1995,26
London,,1996,26
London,,1997,25
London,,1998,25
London,,1999,25
London,,2000,25
London,,2001,23.22
London,,2002,23
London,,2003,24.79
London,,2004,22.03
London,,2005,22.35
London,,2006,23.82
London,,2007,21.56
London,,2008,18.81
London,,2009,19
London,,2010,20
London,,2011,20
London,,2012,17
London,,2013,17
London,,2014,17
London,,2015,15
London,,2016,16